problem_id,category,solver_rule,solver_predicted,solver_correct,solver_parse_ok,answer,solver_explanation
00457d26,equation,unknown_operator_fallback,,False,False,@&,parse_error: no examples extracted from question text.
00c032a8,equation,unknown_operator_fallback,,False,False,\^?,parse_error: no examples extracted from question text.
00d8b3db,equation,unknown_operator_fallback,,False,True,17/,No rule matched all 3 example(s). Test case: 69 / 52 = ?
012cab1f,equation,unknown_operator_fallback,,False,False,|@{,parse_error: no examples extracted from question text.
0133bcec,equation,unknown_operator_fallback,,False,False,\([#,parse_error: no examples extracted from question text.
017a871e,equation,unknown_operator_fallback,,False,False,\:,parse_error: no examples extracted from question text.
01b2aa67,equation,unknown_operator_fallback,,False,False,+},parse_error: no examples extracted from question text.
01cd504a,equation,unknown_operator_fallback,,False,True,6644,No rule matched all 3 example(s). Test case: 85 / 77 = ?
01ef1e3e,equation,unknown_operator_fallback,,False,False,[](,parse_error: no examples extracted from question text.
022c4d73,equation,unknown_operator_fallback,,False,False,!',parse_error: no examples extracted from question text.
026106f5,equation,unknown_operator_fallback,,False,True,631,No rule matched all 1 example(s). Test case: 75 * 97 = ?
02664ad5,equation,unknown_operator_fallback,,False,False,:}',parse_error: no examples extracted from question text.
02902eb3,equation,unknown_operator_fallback,,False,False,>/,parse_error: no examples extracted from question text.
02a04b59,equation,unknown_operator_fallback,,False,False,#>]#,parse_error: no examples extracted from question text.
02b8d816,equation,unknown_operator_fallback,,False,False,>$$>,parse_error: no examples extracted from question text.
02c15453,equation,unknown_operator_fallback,,False,False,(,parse_error: no examples extracted from question text.
02e871e4,equation,unknown_operator_fallback,,False,False,$',parse_error: no examples extracted from question text.
035c4c40,equation,unknown_operator_fallback,,False,False,??,parse_error: no examples extracted from question text.
03a3437f,equation,unknown_operator_fallback,,False,False,-!,parse_error: no examples extracted from question text.
03f07b43,equation,unknown_operator_fallback,,False,False,61,parse_error: no examples extracted from question text.
04171e29,equation,unknown_operator_fallback,,False,True,32,No rule matched all 5 example(s). Test case: 97 - 65 = ?
042f1e53,equation,unknown_operator_fallback,,False,False,-},parse_error: no examples extracted from question text.
04322d27,equation,unknown_operator_fallback,,False,True,2891,No rule matched all 4 example(s). Test case: 59 $ 49 = ?
0454705a,equation,unknown_operator_fallback,,False,False,%}|,parse_error: no examples extracted from question text.
047c4111,equation,forward_concat,2596,True,True,2596,examples_parsed=1; rule=forward_concat; input=(25 $ 96); predicted=2596; expected=2596; match=YES
0505ab22,equation,unknown_operator_fallback,,False,True,1499,No rule matched all 3 example(s). Test case: 20 - 75 = ?
05109055,equation,unknown_operator_fallback,,False,False,`>%/,parse_error: no examples extracted from question text.
053b4c86,equation,unknown_operator_fallback,,False,False,(@(],parse_error: no examples extracted from question text.
053f4545,equation,unknown_operator_fallback,,False,True,731,No rule matched all 3 example(s). Test case: 06 @ 77 = ?
055a8b01,equation,unknown_operator_fallback,,False,False,',parse_error: no examples extracted from question text.
05bd2dab,equation,unknown_operator_fallback,,False,False,[)),parse_error: no examples extracted from question text.
05c36467,equation,unknown_operator_fallback,,False,False,%%\,parse_error: no examples extracted from question text.
06083e68,equation,unknown_operator_fallback,,False,False,:::,parse_error: no examples extracted from question text.
0625f633,equation,unknown_operator_fallback,,False,False,@@//,parse_error: no examples extracted from question text.
0641ef58,equation,unknown_operator_fallback,,False,True,-35,No rule matched all 2 example(s). Test case: 54 - 89 = ?
065abaf6,equation,unknown_operator_fallback,,False,False,&/:\,parse_error: no examples extracted from question text.
065f9dea,equation,unknown_operator_fallback,,False,False,*53,parse_error: no examples extracted from question text.
078df00e,equation,unknown_operator_fallback,,False,True,1031,No rule matched all 2 example(s). Test case: 56 * 02 = ?
07aef27f,equation,unknown_operator_fallback,,False,True,-62,No rule matched all 3 example(s). Test case: 22 - 84 = ?
07b440f0,equation,unknown_operator_fallback,,False,False,@$^$,parse_error: no examples extracted from question text.
07cbed38,equation,unknown_operator_fallback,,False,False,93,parse_error: no test case (= ?) found. Rule identified from examples: unknown_operator_fallback.
08111d57,equation,unknown_operator_fallback,,False,False,")""",parse_error: no examples extracted from question text.
0819520a,equation,unknown_operator_fallback,,False,True,401,No rule matched all 5 example(s). Test case: 57 + 82 = ?
083ed8fe,equation,unknown_operator_fallback,,False,False,<#):,parse_error: no examples extracted from question text.
08d8d7e1,equation,unknown_operator_fallback,,False,True,88,No rule matched all 4 example(s). Test case: 65 + 23 = ?
08f6216d,equation,unknown_operator_fallback,,False,False,|>>>,parse_error: no examples extracted from question text.
09302769,equation,unknown_operator_fallback,,False,False,182,parse_error: no test case (= ?) found. Rule identified from examples: unknown_operator_fallback.
094bf548,equation,unknown_operator_fallback,,False,False,48,parse_error: no examples extracted from question text.
09d5ee68,equation,unknown_operator_fallback,,False,False,!?'!,parse_error: no examples extracted from question text.
0a15c5c7,equation,unknown_operator_fallback,,False,True,43,No rule matched all 2 example(s). Test case: 79 - 36 = ?
0a2b9109,equation,unknown_operator_fallback,,False,False,-?:,parse_error: no examples extracted from question text.
0a3ee7c7,equation,unknown_operator_fallback,,False,False,\@)],parse_error: no examples extracted from question text.
0a94b2de,equation,unknown_operator_fallback,,False,False,@}`@,parse_error: no examples extracted from question text.
0b0a3643,equation,unknown_operator_fallback,,False,False,"""""",parse_error: no examples extracted from question text.
0babcba2,equation,unknown_operator_fallback,,False,False,"?""""",parse_error: no examples extracted from question text.
0bb591e6,equation,unknown_operator_fallback,,False,False,%?<,parse_error: no examples extracted from question text.
0bcffccd,equation,unknown_operator_fallback,,False,False,10,parse_error: no test case (= ?) found. Rule identified from examples: unknown_operator_fallback.
0c0683c3,equation,unknown_operator_fallback,,False,False,138,parse_error: no test case (= ?) found. Rule identified from examples: unknown_operator_fallback.
0c0c6320,equation,unknown_operator_fallback,,False,False,""":!|",parse_error: no examples extracted from question text.
0c30f561,equation,unknown_operator_fallback,,False,False,-],parse_error: no examples extracted from question text.
0c8a8a16,equation,unknown_operator_fallback,,False,False,{17,parse_error: no examples extracted from question text.
0cd170a0,equation,forward_concat,9814,True,True,9814,examples_parsed=2; rule=forward_concat; input=(98 ^ 14); predicted=9814; expected=9814; match=YES
0cdb0aae,equation,unknown_operator_fallback,,False,False,:::,parse_error: no examples extracted from question text.
0cf301cf,equation,unknown_operator_fallback,,False,False,{<,parse_error: no examples extracted from question text.
0d2e94ff,equation,unknown_operator_fallback,,False,False,}}^,parse_error: no examples extracted from question text.
0d4b2baa,equation,unknown_operator_fallback,,False,False,:(|#,parse_error: no examples extracted from question text.
0d542478,equation,unknown_operator_fallback,,False,False,}<,parse_error: no examples extracted from question text.
0d90736f,equation,unknown_operator_fallback,,False,False,:,parse_error: no examples extracted from question text.
0da1841f,equation,unknown_operator_fallback,,False,False,(\#%,parse_error: no examples extracted from question text.
0dce4039,equation,unknown_operator_fallback,,False,False,-@/,parse_error: no examples extracted from question text.
0dcfd566,equation,unknown_operator_fallback,,False,False,)@\{,parse_error: no examples extracted from question text.
0df82d52,equation,unknown_operator_fallback,,False,False,"""!!",parse_error: no examples extracted from question text.
0e009c6d,equation,unknown_operator_fallback,,False,False,`?\!,parse_error: no examples extracted from question text.
0e2d6796,equation,unknown_operator_fallback,,False,False,|)],parse_error: no examples extracted from question text.
0e3307ba,equation,unknown_operator_fallback,,False,False,:$,parse_error: no examples extracted from question text.
0e375364,equation,unknown_operator_fallback,,False,False,}/@,parse_error: no examples extracted from question text.
0f01cece,equation,unknown_operator_fallback,,False,False,@^,parse_error: no examples extracted from question text.
0f0536de,equation,unknown_operator_fallback,,False,False,2376,parse_error: no test case (= ?) found. Rule identified from examples: unknown_operator_fallback.
0f6436da,equation,unknown_operator_fallback,,False,False,$?,parse_error: no examples extracted from question text.
0f8452df,equation,unknown_operator_fallback,,False,False,159,parse_error: no test case (= ?) found. Rule identified from examples: unknown_operator_fallback.
0fcf912a,equation,unknown_operator_fallback,,False,False,|#&!,parse_error: no examples extracted from question text.
0fe53bac,equation,unknown_operator_fallback,,False,False,"(""",parse_error: no examples extracted from question text.
1019ee55,equation,unknown_operator_fallback,,False,False,1162,parse_error: no test case (= ?) found. Rule identified from examples: unknown_operator_fallback.
10552d46,equation,unknown_operator_fallback,,False,False,?',parse_error: no examples extracted from question text.
